,variance
TRIB1,31852.243722061994
PCK2,31716.947643979056
EPCAM,31688.63341216352
PTGES2,31648.6053340259
SH3BP4,31592.09910735033
JUND,31516.69088075677
LXN,31405.778560004343
RPL37A,31403.934438779048
COMT,31397.585895315326
DCAF7,31380.34984211177
ARCN1,31365.45250365674
NUBP2,31360.4341858844
TMEM54,31355.919839241058
PDLIM5,31342.592908014696
HLA-B,31159.669842658546
DAP,31149.178844339975
BRAT1,31141.180443727542
SCAMP2,31017.018604841902
PA2G4,30961.603802988262
LAPTM4A,30957.034065588567
FUT11,30867.002597296083
ACAA2,30838.72465927575
GADD45A,30814.501865952203
PSMA5,30766.461348133373
STK25,30764.567768922665
CALU,30616.733435402522
PCBP1-AS1,30439.974642188292
EIF4H,30420.310185501596
BCAS2,30399.49087528876
RHOA,30392.088376416563
LPIN3,30315.517887167967
S100A16,30288.975558076894
WEE1,30219.839336732606
ERBB3,30216.475756291613
NDUFA1,30204.03107186308
CLPTM1L,30147.8532391016
NUTF2,30091.685276065196
MRPS21,30032.289803562417
SRRM2,30027.732464833975
LRATD2,30017.796905116684
PI4KB,30008.027968777747
VCL,30004.452503656725
PAM,29956.263078752767
HSPH1,29897.481812092446
FAM32A,29870.41281970664
EGR1,29838.038563011814
LONP1,29829.70057277215
DCTPP1,29780.033341079634
ARFGAP2,29769.513635804422
PYCR1,29766.792243653726
GINS2,29760.557379738275
TSPAN1,29759.632236545207
CIZ1,29737.631115607004
PKMYT1,29656.26511557965
SLC25A24,29638.24435088104
RPL29,29609.6871625224
UNG,29554.83710852593
IFITM1,29298.922422867126
HSPD1,29279.95007723538
HNRNPAB,29207.48297404072
YIPF3,29173.88309433656
SLC35A4,29168.436468770957
EFTUD2,29134.185966399167
DLC1,29129.762675488262
VPS72,29118.919606851385
NRAS,29110.15332248846
PDK1,29109.432203737375
IDS,29100.627684442195
CLDN7,29061.737194646867
ATP5MC2,29053.770645086282
NUP210,28923.125285360846
HMOX1,28867.810834825643
GADD45G,28853.77816357501
SEPTIN2,28848.276297622786
SH3BGRL3,28848.13533279568
EIF5A,28839.567577542955
PRDX3,28794.489152871407
LRRFIP1,28777.727817040985
MRPL28,28774.62887373045
AUP1,28771.46060995447
GRWD1,28720.787568520827
ITPK1,28715.787500170838
SFXN1,28694.684756606017
SYVN1,28552.399969926046
TBL3,28546.256517162677
RALGDS,28519.287903435266
SLC25A11,28506.690101567943
LOX,28452.10719997807
LAMA5,28449.105354530933
TAF7,28430.336172132334
UBE2Z,28419.716607657923
KLC1,28407.598772435867
ANAPC11,28377.77824559488
TAX1BP3,28374.99256353123
CENPX,28137.57203395623
GARS1,27944.136070974542
TMEM9,27942.556436509807
RNASEH2C,27875.71591048897
UNC45A,27874.137342282585
SLC35B2,27855.141128866875
ZNF292,27839.517299358875
ULK3,27766.50692384457
PLXNB2,27752.709991387906
DBNL,27746.260385766815
KEAP1,27726.233729307038
C4orf3,27724.302133883753
DEDD2,27676.020504968976
PEDS1,27620.64448484684
SSR2,27562.06083140816
SIPA1L1,27478.19584979425
CS,27473.313767036227
MFSD10,27428.17382745753
NDUFS3,27427.477929818328
ELAC2,27382.1254904105
NANS,27345.694776700897
DAD1,27290.067133268647
TUBB3,27288.49406039393
PSMD9,27231.94753461924
RAF1,27116.404440009293
STAT1,27084.44553196724
BAG3,27073.25866334945
GOT2,27038.996227085696
SCUBE2,26983.486282175694
MAP1LC3B,26979.84084043034
MLEC,26944.460500594643
LIG1,26910.459037906905
NDUFA10,26906.841236859727
GBE1,26833.43789044878
FAM102A,26809.35782537969
KLHDC3,26801.420365535243
SIAH2,26789.047735567925
SNX17,26692.187497436902
MYO1C,26685.300233756636
GRB10,26674.87803644423
UBE2V1,26662.71049717718
EDN2,26651.30229792351
AVPI1,26629.88343608604
RNASET2,26606.358194469118
PRPF31,26540.954793378278
FAM120AOS,26488.4581493582
PINK1-AS,26444.991237543218
WDR54,26431.4434951403
OSGIN1,26423.722718138688
RAB10,26423.540510983854
SPOUT1,26333.77679657705
CTNND1,26309.53198091673
ANXA5,26296.5326644157
GALK1,26265.05774199276
HID1,26243.40803521383
GET3,26241.911145134167
HUWE1,26216.36155728404
S100P,26198.13453993681
MAL2,26177.231528440392
PC,26172.082457315497
RASSF7,26153.93778792395
ATP5PO,26149.22293002337
CCNB2,26084.59516356133
ALDH18A1,26062.669377879254
SON,26053.665099175694
PCDH10,26030.994395308564
ATP5MF,26024.334887154324
HMG20B,25996.95201837244
FIBP,25949.79928369307
ETFA,25946.409538911572
GTF3C1,25933.162577064522
SPOCK1,25919.731726655078
PGAM1,25862.944117124407
PTTG1,25808.68858420016
DKC1,25663.59597009008
STOML2,25661.113324128884
TRUB2,25659.953289680514
PCP4,25586.275764493614
TMEM43,25528.308873183585
RHOD,25507.362486842623
EIF3A,25501.227195056945
PGP,25459.226976337253
C6orf62,25457.14784082673
RPL21,25371.927603789332
UBE2I,25344.749907727626
TMEM147,25231.908957937485
CSNK1A1,25230.208426175253
RAB5IF,25221.370989569794
AKR7A2,25173.812324853403
BZW1,25131.616775798666
HMCES,25094.842193758304
ADAM15,25033.343458231364
MRPL41,24989.50840020231
RAMP1,24983.72755731124
RNF26,24939.37537763317
PIAS3,24920.759777452728
GTF3A,24857.341476084344
RTL8A,24809.338974478123
PTCD1,24769.297650130564
CTSL,24766.252320479
ROMO1,24698.152379259907
PIM1,24691.963063715775
HMBS,24674.338318319118
LAMTOR4,24619.830574275853
HIF1A,24606.058753571288
ATP1B1,24548.83676677646
GNS,24541.218008830827
FUCA2,24520.35465394445
ZNF592,24517.323199322
BUD31,24516.096701433955
CTBP1,24505.07627848481
BEX3,24471.1319699807
RAC1,24396.965278252446
RTCB,24384.163383593306
KIAA2013,24323.002118846827
IMP4,24272.767637690897
MRPL37,24272.419859746027
HLA-A,24251.668899429947
DNASE1,24191.609352999894
NDUFS5,24181.960521099612
SLC35B1,24148.460678304364
TUBA4A,24067.484942517578
AZIN1,24036.171585580913
PKP3,24022.638059956585
DSTN,23996.583133979453
POLE3,23975.064248902992
SUPT16H,23940.948204448257
GPX3,23939.551843396686
MRFAP1,23932.16093666697
RPS16,23910.062089046238
UBE2S,23877.949790165803
EIF4B,23863.837026506084
ATAD2,23858.67874181513
MAP4,23707.822126228566
PRDX6,23676.64329555863
G3BP1,23662.118942490375
STT3A,23586.323923830863
TROAP,23541.268628764377
RAB1B,23517.47642612059
RTN3,23516.97204489221
EDC4,23516.497682938527
ABHD11,23514.003403824845
PRICKLE2,23482.733517422374
PSMA4,23477.690238267754
ST6GALNAC2,23426.846335762024
PTGER4,23403.04517928187
CNPY2,23298.878842972936
SHB,23293.909614096487
THRAP3,23265.437890448808
SPDEF,23252.126105559622
CCT4,23204.5068281547
S100A13,23201.869096277653
KCMF1,23195.65803179636
CLIC3,23165.857668174947
IRF9,23157.321859663996
CAPZB,23149.832173663446
PARP6,23141.476057031152
DDX27,23139.86375131574
NR1H2,23123.167990376343
TNPO3,23119.67669131819
ECI1,23073.750673246483
PCCB,23062.812721282804
RPL36AL,23037.698905034624
GLB1,23026.934110699513
NR3C1,22967.76076169124
SLC9A3R1-AS1,22914.753188522714
DPAGT1,22899.949913195633
EPAS1,22851.68410044694
NPLOC4,22840.80584528314
FBH1,22819.376184161978
G6PD,22817.61591458995
RPL11,22744.40800787391
DIABLO,22726.453747624848
INPP4B,22663.201454485796
DDX23,22659.701516000696
ATP13A1,22641.98370538461
MDK,22622.283952811216
TGOLN2,22598.605921835067
FADS1,22534.683239238355
RUSC1-AS1,22463.641450111365
SLC38A10,22447.840895110257
SAP30BP,22444.79869588397
RECQL4,22401.93337252066
KIF2C,22398.62626276429
IFITM2,22372.714693860842
MCM6,22367.118341011264
SHMT1,22363.735171489894
HPCAL1,22346.860743920286
ZER1,22325.65569422993
H1-10,22293.331414979577
AMFR,22271.572170655993
DYNLL1,22262.94346096536
EIF4A2,22262.716853717553
YIF1A,22252.59520457122
PPP2CA,22224.68222765984
MATR3,22198.631949475737
FNTB,22190.11965332931
PALLD,22173.934220059335
AMZ2,22117.879458122014
PARP1,22050.369390182215
PHKG2,22016.28560687872
TAF10,21978.35826281904
IMPDH2,21975.950131915306
MT-ATP8,21970.752532363716
PREB,21942.194797205822
SF3B4,21903.28008420709
AKAP1,21888.140048938527
SRXN1,21879.134758656477
DTYMK,21860.790179486852
CCN1,21830.753530272144
SEMA3B,21815.03431164821
CDV3,21777.681926920286
RPL5,21773.272210298965
RNF181,21762.927508099478
FAF2,21761.479952975285
UTP4,21751.63938594456
HARS1,21742.24508905996
FOXO3,21654.379615326758
CAND1,21636.174510956494
COPZ1,21623.208234795573
SPATA20,21607.811080885287
SDC4,21598.088964225666
ZDHHC7,21571.616105969653
SNW1,21489.965414952225
SPR,21474.951690292957
HMGN1,21472.916175686572
SNHG29,21440.680368542657
STAU1,21412.198064330925
ANKRD27,21392.13268081967
GRK2,21322.85306139188
HNRNPUL1,21309.965633671898
RAMP3,21306.106871898653
AVL9,21303.449004142018
DAPK3,21246.853553511126
MRPS12,21237.93724112478
MIDEAS,21232.732396484076
NUDT16L1,21220.52256230093
SLIRP,21191.65677415827
SLC12A2,21187.922081117664
GGA2,21166.8273618307
IK,21146.53028583926
ASCC2,21130.768457889626
POMP,21032.95122551366
ISYNA1,21024.580208603882
NOSIP,20991.65922108457
SEC16A,20966.77593536832
CLN3,20923.459789755714
PRMT5-AS1,20889.444274329137
FADS3,20877.311607179487
ATG9A,20836.38437247959
EFEMP1,20805.160649597412
HDHD5,20792.416073161723
CDIPT,20767.733585772283
RNPEP,20753.67305510367
SLC44A1,20746.13374707803
QRICH1,20726.421418123668
SDC1,20718.836384017086
UBA52,20706.149016444993
KIAA0100,20703.581985701207
SPRYD3,20698.009473295664
DDX39B,20689.877065875622
ID4,20656.998373272407
PFDN5,20652.600727242898
HBP1,20612.385561767805
TPT1,20596.915246127974
CCNL1,20593.133788088016
MRPL49,20589.42383771002
IMP3,20563.35257610763
AURKB,20501.25726901149
DDB2,20489.169603433907
RUVBL1,20478.33506486403
RPL36,20463.143972222588
SLC25A10,20459.95725397458
ARAF,20452.56842508169
ILK,20351.031919401805
GPRC5C,20350.573086544628
NME4,20299.183150383444
NCSTN,20277.843465066395
PHB2,20238.137615682215
IP6K2,20233.78117097042
MCRS1,20175.222547263966
MRPL57,20130.266755977205
CDK2AP2,20096.168140746104
SRSF2,20092.160471887695
IFRD1,20083.076784274053
ABHD12,20077.089907454236
ATP5MF-PTCD1,20066.64514100584
ANKHD1,20052.504053148863
PLOD3,20037.719396333723
CABLES1,19963.057400243353
YTHDF2,19940.93361858024
NUP160,19859.896928355633
ANKHD1-EIF4EBP3,19839.284185200875
LAMTOR1,19834.081473076996
ALG3,19831.79869588397
ZKSCAN1,19820.092696130025
MGLL,19811.084384782567
IDI1,19798.256284772997
COPS9,19781.539718125026
SGPL1,19713.691919675213
EPB41L5,19713.088608806233
FHL2,19712.864598854463
CDK16,19673.003649884497
RPL41,19656.791819884365
CYFIP1,19628.50608997579
ACSL3,19619.82763523025
IMPDH1,19602.075280576308
FBXO42,19582.026998209254
USP32,19580.614793651668
SORT1,19560.030470383972
NOLC1,19520.72307355819
ZNF574,19507.030484053994
LRRC59,19495.066805189115
RAB4B-EGLN2,19453.48182576246
SMPD4,19443.413790275168
RHOV,19441.54740065345
SLC35E1,19420.23215725946
SNX27,19417.473336705247
GPS2,19414.30341886184
SCAMP3,19399.384768909
TARS1,19380.367954834397
ATP5PB,19371.57713285852
CELSR2,19297.63007668859
PSMA3,19283.589613549684
NOP16,19258.82637759218
RNASEH2A,19216.938471422873
NOP10,19216.840102251434
MTFP1,19177.479788935518
SAP18,19173.659221084577
RAB8A,19158.184326001654
CAST,19148.522644320827
DUS1L,19068.58358508876
COL18A1,19065.215206485056
MRPS7,19060.043320164594
THSD4,19031.799502412712
POLR2E,19030.069416155166
ARL6IP4,19028.189766653453
MRPL14,19006.033054010084
DNAJA3,18968.230981641213
JPT1,18957.374229354908
THSD8,18937.608942900515
ALYREF,18936.60724782304
ETFB,18926.60109633235
NAXE,18902.538979946126
RPL35A,18876.178570940352
MTMR14,18840.86741487019
ZNRD2,18823.855535658146
DSG2,18794.390893059735
NTMT1,18776.57664073928
ELOVL1,18755.88280726695
PRDX4,18753.096810793795
SEC23B,18741.19362158765
PSMD11,18740.761609229987
TFG,18739.73279291347
SMAD3,18737.815099859195
SHMT2,18732.14395855264
MAN1B1,18728.238527469817
PSMB2,18652.596489549305
FNDC10,18623.472844586046
CIAO1,18614.704031276935
NPEPPS,18614.56137137233
RFC2,18602.289625852663
GSS,18600.882479187418
UHRF1,18590.292523888354
MMACHC,18573.888548658288
NDUFB7,18532.95412354927
SIN3A,18500.020901398435
ANXA7,18494.91829453336
SLC25A29,18479.301313685
FIS1,18477.59136330706
ATG16L1,18470.835181058872
SPNS1,18452.88063374023
ATF4,18422.89558869764
TUBGCP2,18421.422826131544
RAD23A,18408.33809959948
RPL38,18404.62993998879
TOX4,18384.229628313253
RPS23,18375.9474115894
PSEN1,18362.769619837865
TSPAN3,18360.751110685822
RPS25,18356.075759025607
ODF2,18343.36975927165
SERPINE1,18314.16711549802
HDAC3,18267.852979372008
RBBP4,18252.64976145887
C11orf49,18241.97308381063
SRP68,18235.304375760406
PTBP1,18214.709745328284
BZW2,18214.49250201633
BHLHE40-AS1,18195.802687517964
CTBP2,18152.816466857137
PSMD1,18133.22470712068
MPI,18109.2558883436
NEDD8-MDP1,18107.56041447378
MARK3,18088.919989610815
NEK6,18073.031181222923
EDC3,18054.843000287085
SNRPC,18054.67928861428
MTMR4,18045.184927480772
RPS6KB2,18039.929298866795
USP3,18038.68934971907
KDM1A,18037.125804820032
CAPG,18020.61786939702
NARF,18015.73276557353
RSL1D1,18007.021953986852
PRRC1,17986.86926031742
ANLN,17969.85675228629
DPF2,17948.33064946072
PYGL,17868.71783795605
ACTR3,17850.261438355225
NFIL3,17849.98674012003
CHMP2A,17849.18484546089
NUDCD3,17825.190122072898
MKI67,17799.960220360033
SH3BP5,17770.118723770727
NOTCH2,17752.161674845913
RHBDF1,17719.043005755015
FLAD1,17712.538474156918
TBL2,17702.93491722826
GAPVD1,17702.32779243503
NRCAM,17700.777849165428
MMS19,17689.333424466557
CSNK2B,17685.10267521496
SFXN2,17674.692548494182
GTF3C2,17662.657799406727
CCNF,17652.28810848491
DHPS,17649.958935382023
RACGAP1,17642.73733134661
H2AZ2,17631.32259784287
DNASE2,17624.296802591834
SRI,17623.39820649869
SDF4,17610.588943720682
EMC3,17580.459994805413
HACD3,17567.006534250133
SART1,17561.961792407692
MZT2B,17549.30717810615
DNPH1,17537.208029745874
GRINA,17533.55617678018
RPA1,17523.15304908889
KLHDC2,17520.820444821118
COG8,17509.033341079652
TMEM132A,17478.638360696055
ENTPD6,17436.447883203717
SNX1,17423.07182207153
HSD17B10,17422.017770973165
MRPL27,17405.32607001763
SCYL1,17401.142577884708
SLC4A2,17368.616885158513
MYD88,17359.58819187184
ESR1,17350.493048815493
PPIC,17343.90837012835
LAMA3,17341.12292045429
SERPINH1,17295.431738958083
RAB6A,17285.648285101102
IGSF1,17266.622407830164
RPL34,17214.992467841377
ZNF331,17200.477533388923
FUS,17187.608409771292
SMARCB1,17176.31496999438
VAT1,17149.263242792484
ABCC1,17143.01772996326
SSU72,17137.19308845843
ZNF217,17098.85087419518
KHNYN,17071.487635503687
LPP,17050.873074241663
HAX1,17041.008092627802
YBX3,17025.28292756278
FLOT2,16974.239087938993
IVNS1ABP,16942.936831025385
PITRM1,16913.28846390441
CXCR4,16912.939783741065
CCT6A,16909.401965743044
ATP6V1G2-DDX39B,16885.62108184215
LRRC41,16873.893428840915
POLG,16862.505119407302
H2AX,16834.809987286855
MRPL4,16827.878665263248
CEBPB,16819.354161825213
BTF3,16817.94093201921
INTS1,16805.55843232672
DHX9,16802.794704249998
EMC4,16795.312796467668
DPP7,16783.073079709673
SPTAN1,16781.944117124367
PTRH2,16779.365740297726
KLHL24,16766.08427542273
TARS2,16758.35622599206
MARCHF6,16742.453528905175
MSX2,16742.336322502124
KDM5C,16725.503902779088
ARHGDIA,16725.314969994404
CCNI,16720.635831749896
ACAA1,16705.85370388093
TTC39A,16677.09672877392
ARHGAP1,16673.402102442826
RPS9,16662.539007286086
HNRNPR,16650.356472051742
DEF8,16644.566606974426
IFRD2,16640.610022828838
EFHD1,16635.519226825956
STOM,16630.516315120352
GOLGA5,16626.31034954139
RALY,16606.844736374445
APBB2,16597.633507853403
ILF3,16595.961095238737
VTI1B,16593.685768184507
FBXO21,16581.76083004116
RAB40C,16581.175344825253
PIK3IP1,16579.863491586075
SLC19A1,16573.7904118765
NCAPG2,16571.16685576802
PCAT7,16541.72396210681
VPS4A,16537.4276242943
KCNK6,16516.80041830135
RER1,16509.901753858358
WDR61,16500.61056962803
MADD,16444.5648162071
VPS51,16438.12412341257
GIT1,16435.034338988145
ATMIN,16429.85772285483
SMARCC2,16409.15951498911
CAPRIN1,16404.59446639234
GNAI3,16382.837368255598
SHKBP1,16375.00825666756
MAP3K1,16370.928943447316
SSH3,16366.038768061442
NPNT,16320.918677292757
SNF8,16315.04858310664
CERCAM,16307.557092668752
MED15,16297.401733353407
ABCG2,16287.697825106232
DARS1,16279.676636638264
NDUFS1,16262.816289147411
IDH1,16256.155372985402
PTK2,16241.360231296047
DNAAF5,16227.708966139468
TOR3A,16216.839760501975
RPS8,16213.747324101543
MXD1,16193.019766790167
CPNE1,16188.111861441093
P4HTM,16139.619236394943
MOV10,16127.643008489093
CHURC1-FNTB,16120.917241944951
MYDGF,16105.773693491732
DLG5,16095.244173171312
SMS,16087.289038043546
CCDC124,16082.967479119105
TMEM208,16069.350129181314
GRK6,16062.520921903406
KLF3,16057.501770262332
DBN1,16053.216846882568
AIMP2,16042.800678030962
RPLP2,16030.760173882143
ITPKC,15993.289420802977
TAP1,15975.106817218732
SPG21,15958.410536820107
ERAL1,15953.807745410286
RPS10-NUDT3,15939.580413653564
RSU1,15936.845501893278
POLD1,15927.844175905362
ATP5ME,15906.869711426725
ASB6,15866.118409361188
TMEM109,15829.773953221335
SMG5,15817.591240277248
EGFL7,15799.03156398237
BRIP1,15795.376074802101
CLTB,15783.796905116673
VPS52,15781.171298511303
LRP4,15780.056046915242
TSPAN13,15777.189766653468
HSF1,15765.69686820774
DCTN2,15744.413380175787
PSMD14,15724.855139228759
NET1,15718.616406709221
ZNRF1,15691.41433707435
RRP12,15654.716525638047
ZFR,15610.45955736607
MRPL51,15591.842713217507
BOD1,15588.852719642393
MRPL10,15587.426257296358
MXD4,15556.39372274549
ADCY1,15524.963227755492
NUSAP1,15459.680505242479
CPSF1,15457.53662870969
LAMTOR5,15439.63595477974
GADD45GIP1,15411.99874236189
THOC6,15411.237734611022
PIK3R1,15407.699492843763
PNMA1,15373.004497423217
OCLN,15362.211105491227
C3orf14,15353.35652673164
SHISA2,15323.248137465282
PCDH1,15312.250434021807
MSRB1,15279.232512678907
STRN4,15275.981668557679
EAPP,15268.745164244778
NCBP2AS2,15246.994436318393
PES1,15219.156548603614
HNRNPA1,15209.690511667328
RPS15A,15199.628039861665
NUPR1,15190.957623063874
TALDO1,15187.29267425807
SMC1A,15162.317621970411
CAPN2,15150.466583735473
ACAT2,15147.951129823807
SLC20A1,15135.28206635407
GOLM1,15116.314751274746
PTPA,15101.138053121538
BMP4,15070.90107035935
TPD52,15038.727092532092
GCN1,15006.01082662365
ERMP1,14990.45579812172
COX7B,14976.375555342911
CYFIP2,14973.484163328912
VANGL1,14966.446461525846
SELENOT,14939.888179568854
BRMS1,14937.378877147918
VAMP8,14911.318701898743
AP4B1,14901.768047790249
RRP1,14901.169945183394
CENPT,14881.744549095707
ABCB9,14877.668653370334
HMGB3,14876.300999275489
MLST8,14872.405424247794
ESRP1,14866.854496739697
RANBP1,14852.578376826636
MRPS2,14848.419299276844
NOP2,14841.111970800937
SFXN3,14817.454103044332
THOC7,14816.001325987987
ABCC5,14796.523245799894
UQCRFS1,14794.630199718416
CSTB,14792.390305250638
KPNB1,14783.724932675348
PEF1,14777.150069033385
MISP,14764.094186157763
OAS1,14758.172747529035
SERINC1,14743.108580646054
RPL36A-HNRNPH2,14740.701187921215
PLIN3,14733.627575082344
BRD8,14723.506541085135
FAM50A,14713.098820280791
EGLN2,14700.497518898734
TIPARP,14687.184079942037
TGIF2-RAB5IF,14666.91207469276
ACTR1A,14665.624882096417
GTPBP4,14632.967697838778
YWHAH,14630.135811244925
LTBR,14623.650636337556
TSPYL2,14617.608970240517
RAB32,14613.899744371412
COX14,14607.486541905297
STX3,14554.404357989439
GAK,14545.436017661606
LAS1L,14535.651360846468
ACTL6A,14510.202493404224
MCM3AP,14504.637854906836
COX5A,14500.444096619409
TMEM45A,14497.496589340193
TADA3,14450.745574344177
EIF3K,14423.676964717779
MRPS26,14420.58865665113
DHX16,14377.719122934102
TLN1,14355.334682104627
FOXP1,14339.658947685004
WFS1,14337.563913988502
CD47,14324.513157355132
PSME3,14315.604964936494
NAPA,14301.736825557391
GDI2,14295.850354735967
PODXL,14251.330676800673
TSTD1,14241.12339890367
PIP4K2C,14236.617377277742
CCDC159,14217.132954219212
ATP2A3,14205.444944158138
FBXO7,14191.646685713502
AHCY,14186.6955695597
MYO5B,14177.33946659741
NCKIPSD,14170.179022049708
SUMF2,14156.731836014937
CHID1,14145.909996855924
PPP6R1,14129.19740817192
CCM2,14128.367216655524
DVL3,14097.540497313841
PCNA,14069.794772599911
NOTCH1,14062.114923516508
BAG5,14058.038316952126
SCAND1,14053.738862384338
RAB5B,14038.860798600188
HSD3B7,13991.817806515099
EPHB4,13985.548589941629
KHDRBS1,13983.481880442356
ATP13A2,13980.241931294708
IFFO2,13959.921643678392
NUMB,13955.878036444175
HELZ,13939.947616639109
PPP1R14B,13920.263242792496
ZNF207,13886.6388801553
VARS1,13867.825407023642
ITGB6,13860.076018755211
BOP1,13849.702527579178
RBM42,13849.358481538684
MRPL9,13843.318387489237
SREBF2,13838.803494046717
ERCC3,13833.837668995142
USP36,13807.468292482887
TERF2IP,13802.786857681844
DSCAM,13775.009692015343
TUBB6,13772.628819050482
AP1G2-AS1,13763.389567071772
RBM38,13753.723757057143
ADD1,13746.059519090137
DHX38,13735.81899580332
ECPAS,13719.392273727655
MRPS11,13684.6010553224
LRRC8A,13664.417740899207
HIF1AN,13658.566771014184
SETD5,13654.929134827014
MB,13622.003144095279
RPS29,13605.721815920067
METRNL,13600.214550326034
PPP1R3C,13597.821128320033
CBX4,13591.568384071756
SOX9,13590.14004893862
ADI1,13576.514141593643
IVD,13557.846759531381
MLXIP,13537.019438710646
NECTIN4,13529.558309296985
NCK2,13526.4345002939
SNRNP70,13515.718412095199
DHRS3,13508.105928670013
CD44,13484.182220824814
BIRC5,13476.0267248096
WBP2,13471.939154921865
RGL2,13470.467458614146
PTPMT1,13445.041255997709
RPL10A,13434.512760925725
NBPF1,13418.57465859226
PITPNC1,13407.549738219896
H4C8,13397.290432381393
ATXN2L,13353.37096222983
MCL1,13347.562013861365
BSDC1,13343.972632701318
BSPRY,13337.829795087022
NEBL,13328.15292605908
ENDOG,13311.32360942135
VEZF1,13310.868125709141
STXBP2,13299.294000246044
ZNF263,13292.762320068907
PADI4,13290.568958210815
FAM89B,13286.595833390298
ACOT7,13284.637157737878
TKFC,13282.762456768674
IRF6,13273.366560496532
BID,13240.115825735103
SSNA1,13204.342774732402
PAFAH1B3,13190.36031331592
GORASP2,13178.031591322293
MRPS18B,13168.841564939245
TMED1,13163.641163041839
OSBPL2,13156.447309064557
GTF3C5,13151.120022418778
ZNF622,13147.810629775955
ABHD4,13145.711645455413
HMGCR,13144.345823137808
NPTN,13125.183082033549
MRGBP,13088.266824327096
UNC93B1,13087.773980561278
LINC00963,13084.589627219688
PCMT1,13078.978128033024
DDX54,13076.869711426743
PIGO,13066.332112148513
ZNF410,13058.438874687292
NAA10,13057.666015064315
KIAA1191,13057.517641108363
AKAP12,13046.70586305422
SRRT,13036.447869533722
EXOSC10,13036.418766147644
WASF2,13012.60645496426
ARPC3,13009.085751780516
CELSR1,13008.826240892435
PGAP6,13003.448252293114
TRAPPC4,12975.684715596077
TTC3,12961.799898842162
ATG13,12959.876614766303
TMEM127,12950.375377633187
EIF2S1,12945.77806788512
BCAR3,12936.802837887673
RARG,12935.815646658371
EHMT1,12907.536095580506
CPNE3,12893.40751575465
NCOA4,12883.960808169173
AGBL5,12872.63441007204
FPGS,12870.62376115811
CUTA,12868.576982488765
EMC1,12856.621177532023
NRDC,12850.960179350132
SLC9A1,12840.152994408983
DPM2,12831.289625852649
KCTD11,12827.252265799087
RBM15B,12823.714598170935
CLSTN1,12805.95531283748
PDAP1,12805.005741391336
VPS35,12800.38851448335
TARDBP,12800.231665140185
CD81,12787.487922573246
POLR3H,12780.355501483187
PRKDC,12773.019466050615
C8orf33,12731.737345016614
HAGH,12724.499842795241
AP3D1,12714.338372999062
RAB3D,12708.942189657308
ZNF160,12681.239443358443
DALRD3,12677.129003595193
GNL2,12661.240974396145
C14orf119,12660.402471532265
AKAP17A,12659.010102114747
PACS2,12656.803658086477
NFX1,12651.205705849388
EIF3G,12646.841182179836
PDHA1,12638.641340751565
CCND3,12637.142482194891
MAP3K3,12625.09778136234
DDAH2,12624.225581999364
PCNT,12623.140103618454
AIF1L,12622.323978510793
PRKCSH,12618.98848987739
CHMP4A,12591.097166213278
EME2,12581.324238240406
MORF4L1,12577.244706300502
DAXX,12575.036539854826
LARS1,12570.032370511126
NUP62,12560.521181633008
KAT7,12554.59639385945
MFSD11,12552.38851448335
GRSF1,12551.881221549354
CSE1L,12524.684674586142
YTHDF1,12508.423960739818
PLAUR,12496.475975011259
SDHB,12494.831995953684
PDLIM1,12489.448785422335
B3GNT4,12483.404440009295
UCKL1,12479.161538146065
IRS1,12472.290992850605
SPSB3,12470.520238404451
VAPA,12469.04348420434
GPT2,12466.004852842667
VAPB,12459.912320752414
COA3,12453.543928478679
PARD3,12445.97373996965
ABHD16A,12445.06001120937
CDK10,12436.284855029844
PNPO,12434.046682979526
RCC1L,12423.625921014853
SNRPA1,12416.558172597162
AP2S1,12410.976104876085
SPATS2L,12404.131983650688
TBX3,12397.570981367773
NIPSNAP1,12360.243311962602
DGCR2,12342.834032780604
FKBP15,12340.978401432607
ZDHHC16,12337.891501373839
PSRC1,12302.119147540061
SPIN1,12286.403018331433
DGKD,12244.315776523197
FKBP9,12240.661968750434
SMG7,12239.310144491707
TINF2,12231.675666069756
NAPRT,12227.636747638528
G6PC3,12204.398958347545
RCC1,12203.867209820508
FASN,12194.952647191521
ZNFX1,12192.61959181441
ACSF3,12180.499487375824
TNIP1,12178.963911254505
RAD21,12171.159665358904
DHRS7,12163.547879102704
PIK3R2,12144.664730086266
ZNF84,12127.980738999087
HINT1,12097.213894167013
ANKRD39,12090.801033450436
SURF1,12073.0835235739
COG1,12058.745574344195
PIGS,12041.147198337727
NDUFAB1,12011.297240031146
TP53I11,11984.339931376708
MPG,11966.793282572138
EIF2B5,11962.63231856519
CBX2,11961.78523095429
SPG7,11942.235178324874
QARS1,11937.461088403761
RAB1A,11926.488141292915
TSR1,11921.386696376094
TRIM16L,11907.075868385435
DCTN5,11884.026902519365
SNAI2,11883.23758424121
MAZ,11882.543244979708
IPO9,11864.601123672295
EPRS1,11863.728842289447
MPV17,11862.148510655756
QPRT,11851.840854100308
DNMT1,11846.940590269714
PTDSS1,11818.787664210637
PLEKHB2,11815.101923366086
FASTK,11814.153158448724
RPS24,11795.377687859691
MEST,11792.458983226928
TMEM11,11776.504353888418
SYBU,11761.03595204574
RAB22A,11757.825461703555
NDUFAF3,11753.605703115387
RGCC,11747.637827566845
GNA13,11740.925908711884
